strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
option2_promotion,0.0,100,0.9761,15829.6976,8475.8071,93.175,93.175,104.4888,1701.48,231.3338,800
option2_promotion,0.0,200,0.9869,15829.6976,8475.8071,93.175,93.175,204.1038,2984.2025,362.8075,800
option2_promotion,0.0,500,0.9945,15829.6976,8475.8071,93.175,93.175,503.9675,6294.3988,698.055,800
option2_promotion,1.0,10,0.8334,15928.8186,6365.6818,136.6488,36.1338,13.53,276.4325,36.7588,800
option2_promotion,1.0,20,0.8941,13698.3524,9361.7768,78.0438,78.0438,27.6175,553.6812,104.56,800
option2_promotion,1.0,50,0.9576,15833.3752,8626.1856,91.5088,91.5088,55.4888,994.2425,159.3025,800
option2_promotion,1.0,100,0.977,15833.3752,8626.1856,91.5088,91.5088,104.8388,1708.6462,236.5025,800
option2_promotion,1.0,200,0.987,15833.3752,8626.1856,91.5088,91.5088,204.2925,2992.9975,367.8888,800
option2_promotion,1.0,500,0.9932,15833.3752,8626.1856,91.5088,91.5088,503.6688,6305.2675,702.355,800
option2_promotion,2.0,10,0.819,16191.9022,6609.991,136.03,35.7512,13.6512,279.4838,37.2925,800
option2_promotion,2.0,20,0.8881,13570.8118,9493.8628,75.3088,75.3088,27.9625,561.02,106.4212,800
option2_promotion,2.0,50,0.9514,15916.5524,8632.4779,93.0075,93.0075,55.495,996.1588,158.4288,800
option2_promotion,2.0,100,0.9752,15916.5524,8632.4779,93.0075,93.0075,105.1375,1716.4488,237.79,800
option2_promotion,2.0,200,0.9868,15916.5524,8632.4779,93.0075,93.0075,204.6188,3004.58,370.0088,800
option2_promotion,2.0,500,0.994,15916.5524,8632.4779,93.0075,93.0075,503.9262,6325.0488,707.165,800
option2_promotion,3.0,10,0.8051,16534.4854,6809.4912,135.5662,35.7638,13.875,284.7325,37.6238,800
option2_promotion,3.0,20,0.8632,13431.6462,9657.3888,74.795,74.795,28.2738,569.9225,105.7238,800
option2_promotion,3.0,50,0.9456,16079.2292,8758.3699,93.6688,93.6688,56.125,1011.3988,161.0312,800
option2_promotion,3.0,100,0.972,16079.2292,8758.3699,93.6688,93.6688,105.5912,1730.2275,242.3712,800
option2_promotion,3.0,200,0.9852,16079.2292,8758.3699,93.6688,93.6688,205.1938,3024.6538,377.9488,800
option2_promotion,3.0,500,0.9938,16079.2292,8758.3699,93.6688,93.6688,504.3925,6362.705,719.9812,800
option2_promotion,4.0,10,0.7799,16956.5683,7085.2254,135.98,35.3112,14.085,288.4788,37.4975,800
option2_promotion,4.0,20,0.8519,17039.5396,9543.1193,93.9875,93.9875,27.835,559.9788,99.6888,800
option2_promotion,4.0,50,0.9294,16321.4059,9054.5441,91.7525,91.7525,56.6575,1028.2588,165.8175,800
option2_promotion,4.0,100,0.967,16321.4059,9054.5441,91.7525,91.7525,106.75,1764.645,252.09,800
option2_promotion,4.0,200,0.9834,16321.4059,9054.5441,91.7525,91.7525,206.3587,3064.855,392.1125,800
option2_promotion,4.0,500,0.9924,16321.4059,9054.5441,91.7525,91.7525,505.5225,6433.975,744.0425,800
option2_promotion,6.0,10,0.7034,18039.2329,7963.0405,134.5438,35.115,14.565,301.9325,38.0737,800
option2_promotion,6.0,20,0.8098,17044.2578,9711.7194,90.4,90.4,27.8725,561.3112,93.2312,800
option2_promotion,6.0,50,0.8968,17044.2578,9711.7194,90.4,90.4,57.645,1059.9488,173.335,800
option2_promotion,6.0,100,0.9425,17044.2578,9711.7194,90.4,90.4,107.8212,1813.385,267.3438,800
option2_promotion,6.0,200,0.9742,17044.2578,9711.7194,90.4,90.4,208.41,3151.3275,419.0238,800
option2_promotion,6.0,500,0.9866,17044.2578,9711.7194,90.4,90.4,507.3512,6601.1262,787.7388,800
option2_promotion,8.0,10,0.5921,18085.1085,10634.1717,88.025,88.025,17.5475,373.7575,51.3062,800
option2_promotion,8.0,20,0.7271,18085.1085,10634.1717,88.025,88.025,28.8112,586.93,93.2312,800
option2_promotion,8.0,50,0.8546,18085.1085,10634.1717,88.025,88.025,59.5725,1114.405,181.6413,800
option2_promotion,8.0,100,0.9054,18085.1085,10634.1717,88.025,88.025,109.1775,1875.9512,284.135,800
option2_promotion,8.0,200,0.9439,18085.1085,10634.1717,88.025,88.025,209.035,3259.2087,446.2788,800
option2_promotion,8.0,500,0.972,18085.1085,10634.1717,88.025,88.025,509.935,6867.0825,842.4825,800
option2_promotion,10.0,10,0.5192,19443.9577,11849.41,85.4425,85.4425,18.2638,396.2338,51.2875,800
option2_promotion,10.0,20,0.6456,19443.9577,11849.41,85.4425,85.4425,29.5188,612.9412,94.1388,800
option2_promotion,10.0,50,0.7774,19443.9577,11849.41,85.4425,85.4425,60.1612,1152.22,188.4325,800
option2_promotion,10.0,100,0.8539,19443.9577,11849.41,85.4425,85.4425,110.435,1953.6,301.2388,800
option2_promotion,10.0,200,0.905,19443.9577,11849.41,85.4425,85.4425,210.3175,3382.46,476.7325,800
option2_promotion,10.0,500,0.9555,19443.9577,11849.41,85.4425,85.4425,512.6575,7191.3425,907.8862,800
option2_promotion,12.0,10,0.3765,21120.8055,13043.8055,84.5625,84.5625,17.7938,395.2462,46.6025,800
option2_promotion,12.0,20,0.518,21120.8055,13043.8055,84.5625,84.5625,29.9125,638.4338,89.4862,800
option2_promotion,12.0,50,0.6851,21120.8055,13043.8055,84.5625,84.5625,61.8525,1220.6725,188.4175,800
option2_promotion,12.0,100,0.7844,21120.8055,13043.8055,84.5625,84.5625,112.5475,2061.9375,312.3138,800
option2_promotion,12.0,200,0.8521,21120.8055,13043.8055,84.5625,84.5625,213.0725,3577.615,509.7212,800
option2_promotion,12.0,500,0.9161,21120.8055,13043.8055,84.5625,84.5625,515.2162,7592.2412,984.8412,800
option2_promotion,16.0,10,0.2555,25428.497,16231.6307,82.0038,82.0038,17.5625,401.4738,43.0862,800
option2_promotion,16.0,20,0.3709,25428.497,16231.6307,82.0038,82.0038,29.32,647.2688,83.5275,800
option2_promotion,16.0,50,0.531,25428.497,16231.6307,82.0038,82.0038,60.8438,1270.2488,182.2038,800
option2_promotion,16.0,100,0.6516,25428.497,16231.6307,82.0038,82.0038,110.5025,2181.4838,312.1212,800
option2_promotion,16.0,200,0.7421,25428.497,16231.6307,82.0038,82.0038,209.9175,3857.7312,527.88,800
option2_promotion,16.0,500,0.8418,25428.497,16231.6307,82.0038,82.0038,512.0588,8381.8712,1060.025,800
option3_rewire,0.0,10,0.8449,14399.2088,6405.1852,130.8788,36.2825,13.7412,281.83,37.5938,800
option3_rewire,0.0,20,0.897,13934.0997,13934.0997,0.0,0.0,31.185,648.4825,162.8112,800
option3_rewire,0.0,50,0.9569,14552.7249,9323.9115,89.3575,89.3575,56.89,1027.8025,179.0988,800
option3_rewire,0.0,100,0.9752,14552.7249,9323.9115,89.3575,89.3575,106.3938,1744.9488,262.7525,800
option3_rewire,0.0,200,0.9857,14552.7249,9323.9115,89.3575,89.3575,205.8325,3026.7725,396.6275,800
option3_rewire,0.0,500,0.9935,14552.7249,9323.9115,89.3575,89.3575,505.6312,6339.75,732.9125,800
option3_rewire,1.0,10,0.8369,14411.3042,6535.273,130.6113,35.9825,13.8738,284.1825,38.2512,800
option3_rewire,1.0,20,0.8975,15624.59,15624.59,0.0,0.0,33.41,678.27,180.6475,800
option3_rewire,1.0,50,0.9558,14043.5712,9391.3801,84.6112,84.6112,57.2975,1037.7963,182.185,800
option3_rewire,1.0,100,0.9775,14043.5712,9391.3801,84.6112,84.6112,106.7188,1753.2838,267.8112,800
option3_rewire,1.0,200,0.9875,14043.5712,9391.3801,84.6112,84.6112,206.1288,3036.345,403.3275,800
option3_rewire,1.0,500,0.995,14043.5712,9391.3801,84.6112,84.6112,506.0812,6350.4138,741.0488,800
option3_rewire,2.0,10,0.817,14502.8994,6721.4979,130.3538,35.7688,13.9712,287.9288,38.6763,800
option3_rewire,2.0,20,0.8853,15681.6994,15681.6994,0.0,0.0,33.9075,690.3775,182.3188,800
