strategy,shift_sigma,ef_search,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries
option2_promotion,0.0,100,0.9751,14552.7249,9431.6234,88.185,88.185,106.1975,1741.89,263.5888,800
option2_promotion,0.0,200,0.9866,14552.7249,9431.6234,88.185,88.185,205.8075,3025.1338,396.9388,800
option2_promotion,0.0,500,0.9931,14552.7249,9431.6234,88.185,88.185,505.0562,6331.3725,731.395,800
option2_promotion,1.0,10,0.8359,16726.6884,6348.9079,135.9812,36.5862,13.4462,275.7962,36.7375,800
option2_promotion,1.0,20,0.8912,13698.3524,9543.1075,75.9125,75.9125,27.8475,561.3262,107.9762,800
option2_promotion,1.0,50,0.9534,14043.5712,9586.2013,82.4112,82.4112,57.4925,1043.2075,187.215,800
option2_promotion,1.0,100,0.9749,14043.5712,9586.2013,82.4112,82.4112,106.8975,1759.0975,273.2962,800
option2_promotion,1.0,200,0.9869,14043.5712,9586.2013,82.4112,82.4112,206.6087,3046.4025,409.8788,800
option2_promotion,1.0,500,0.9944,14043.5712,9586.2013,82.4112,82.4112,506.525,6359.525,748.07,800
option2_promotion,2.0,10,0.8272,16913.5711,6466.8559,135.7212,36.1225,13.6412,279.6,36.96,800
option2_promotion,2.0,20,0.8809,13570.8118,9597.6686,73.7788,73.7788,28.045,565.2787,108.115,800
option2_promotion,2.0,50,0.9509,13613.9172,9748.2098,76.6712,76.6712,58.2012,1061.285,193.1238,800
option2_promotion,2.0,100,0.9741,13613.9172,9748.2098,76.6712,76.6712,107.6625,1778.5012,282.5325,800
option2_promotion,2.0,200,0.9851,13613.9172,9748.2098,76.6712,76.6712,207.0137,3065.2288,421.9038,800
option2_promotion,2.0,500,0.995,13613.9172,9748.2098,76.6712,76.6712,507.16,6389.4825,762.9462,800
option2_promotion,3.0,10,0.8068,17179.9535,6797.7491,134.7262,35.0138,13.9725,287.6325,37.535,800
option2_promotion,3.0,20,0.8694,13431.6462,9841.2424,70.4575,70.4575,29.0112,587.6175,110.705,800
option2_promotion,3.0,50,0.9446,13263.7628,9940.1312,70.3188,70.3188,59.1888,1084.9188,198.8075,800
