query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length
68,0.5,0.8,288.0215759277344,216.75794982910156,50,201,4789,562,201
69,0.5,0.7,222.4072265625,204.54208374023438,60,200,4799,541,200
70,0.5,0.7,283.4034118652344,208.62294006347656,92,201,4814,564,201
71,0.5,0.6,270.9112854003906,202.43243408203125,76,200,4760,570,200
72,0.5,0.7,310.76422119140625,197.16151428222656,92,205,4870,567,205
73,0.5,0.7,229.891357421875,182.52259826660156,104,202,4895,523,202
74,0.5,0.8,324.2043762207031,245.59722900390625,47,202,4870,562,202
75,0.5,0.5,278.38421630859375,207.149169921875,88,200,4838,553,200
76,0.5,0.7,253.61822509765625,199.97116088867188,72,201,4726,549,201
77,0.5,0.4,306.79998779296875,195.41854858398438,68,201,4815,529,201
78,0.5,0.8,235.16751098632812,193.42181396484375,59,201,4880,575,201
79,0.5,0.4,284.5079345703125,214.578125,76,204,4952,620,204
80,0.5,0.5,317.523681640625,206.07424926757812,75,200,4765,546,200
81,0.5,0.6,281.8816223144531,190.3185577392578,60,204,5004,507,204
82,0.5,0.7,312.9723205566406,218.76048278808594,52,200,4813,560,200
83,0.5,0.7,322.3005676269531,210.07672119140625,76,202,4982,571,202
84,0.5,0.9,276.48309326171875,193.7543487548828,63,208,4942,572,208
85,0.5,0.5,307.55255126953125,196.1597900390625,60,201,4884,566,201
86,0.5,0.6,283.1227111816406,194.4517059326172,60,203,4801,553,203
87,0.5,0.4,302.3495178222656,248.68313598632812,76,206,4956,607,206
88,0.5,0.8,278.6205749511719,205.46832275390625,70,201,4792,530,201
89,0.5,0.6,315.10418701171875,220.73773193359375,115,200,4783,572,200
90,0.5,0.3,280.1861267089844,212.9184112548828,44,200,4890,551,200
91,0.5,0.7,275.7557373046875,197.31080627441406,60,200,4949,570,200
92,0.5,0.9,285.91851806640625,197.6794891357422,60,200,4788,539,200
93,0.5,0.7,323.16778564453125,222.63027954101562,97,206,4940,507,206
94,0.5,0.7,283.48565673828125,208.27264404296875,70,203,4898,550,203
95,0.5,0.6,323.51318359375,239.63502502441406,44,202,4811,530,202
96,0.5,0.5,263.21044921875,192.9135284423828,130,200,4851,535,200
97,0.5,0.7,298.4637756347656,220.7282257080078,44,201,4689,537,201
98,0.5,0.8,260.6130676269531,219.77218627929688,39,207,4942,553,207
99,0.5,0.7,297.4839782714844,216.98193359375,60,201,4791,555,201
100,0.5,0.6,261.77728271484375,203.6651611328125,58,200,4843,561,200
101,0.5,0.6,292.753173828125,208.10108947753906,57,206,4824,564,206
102,0.5,0.6,266.29693603515625,184.72146606445312,60,200,4838,579,200
103,0.5,0.5,305.39105224609375,196.25624084472656,81,205,4930,562,205
104,0.5,0.5,251.89691162109375,221.131103515625,69,205,4865,532,205
105,0.5,0.5,333.5955810546875,220.78485107421875,82,201,4816,553,201
106,0.5,0.8,304.4732666015625,199.84046936035156,60,201,4784,512,201
107,0.5,0.4,324.52410888671875,263.59466552734375,71,210,4972,562,210
108,0.5,0.4,357.5533142089844,215.56825256347656,76,201,4842,591,201
109,0.5,0.6,267.44970703125,204.0563507080078,60,200,4879,540,200
110,0.5,0.6,336.94879150390625,259.1744079589844,44,206,4912,594,206
111,0.5,0.8,301.6590270996094,211.82476806640625,44,201,4841,590,201
112,0.5,0.6,243.67308044433594,241.56503295898438,41,204,4897,586,204
113,0.5,0.4,296.4132385253906,220.97384643554688,97,200,4778,573,200
114,0.5,0.7,310.9357604980469,214.9920196533203,60,200,4759,495,200
115,0.5,0.6,294.9720153808594,214.20176696777344,108,201,4813,561,201
116,0.5,0.7,347.6788635253906,196.9886474609375,73,202,4776,546,202
117,0.5,0.8,281.0980224609375,198.65841674804688,76,200,4760,533,200
