query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
17,covariance_shift,0.7,519.5191650390625,374.4462585449219,98,200,4523,584,200,0,32,46,20,0,0
18,covariance_shift,0.6,547.294677734375,398.9274597167969,150,224,5084,630,224,0,79,60,11,0,0
19,covariance_shift,0.8,459.56787109375,346.66217041015625,71,207,4772,540,207,0,16,38,17,0,0
20,covariance_shift,0.6,598.8621826171875,409.5530090332031,80,202,4596,578,202,0,28,30,22,0,0
21,covariance_shift,0.4,467.93682861328125,383.8749694824219,76,211,5023,595,211,0,16,39,21,0,0
22,covariance_shift,0.6,418.6123352050781,266.9613952636719,73,200,4819,540,200,0,16,47,10,0,0
23,covariance_shift,0.6,710.20458984375,558.3699951171875,76,203,4686,563,203,0,16,40,20,0,0
24,covariance_shift,0.8,388.212158203125,288.4819641113281,86,202,4780,573,202,0,11,43,32,0,0
25,covariance_shift,0.4,393.939697265625,277.74993896484375,98,203,4688,521,203,0,32,29,37,0,0
26,covariance_shift,0.8,504.89044189453125,310.0834655761719,103,200,4619,569,200,0,64,29,10,0,0
27,covariance_shift,0.3,472.3213806152344,337.9234924316406,84,204,4807,542,204,0,32,32,20,0,0
28,covariance_shift,0.2,516.4051513671875,352.2129821777344,67,200,4822,599,200,0,16,31,20,0,0
29,covariance_shift,0.6,525.8284912109375,396.1957092285156,86,202,4710,573,202,0,16,40,30,0,0
30,covariance_shift,0.6,558.7139282226562,406.5672302246094,124,200,4612,598,200,0,32,83,9,0,0
31,covariance_shift,0.5,492.13714599609375,338.65020751953125,69,202,4726,581,202,0,16,32,21,0,0
32,covariance_shift,0.6,548.5703125,401.8653564453125,40,203,4778,640,203,0,15,16,9,0,0
33,covariance_shift,0.3,418.1663513183594,341.4068908691406,78,200,4699,524,200,0,32,28,18,0,0
34,covariance_shift,0.4,450.0780334472656,369.696533203125,68,202,4700,550,202,0,29,26,13,0,0
35,covariance_shift,0.5,521.6067504882812,381.8923645019531,102,207,4912,532,207,0,64,16,22,0,0
36,covariance_shift,0.8,401.2599792480469,287.31622314453125,98,202,4526,547,202,0,32,38,28,0,0
37,covariance_shift,0.6,468.9544677734375,358.9931335449219,74,203,4798,585,203,0,16,47,11,0,0
38,covariance_shift,0.2,482.3514404296875,329.8760986328125,74,200,4747,525,200,0,32,31,11,0,0
39,covariance_shift,0.6,511.7449951171875,347.9360656738281,100,203,4821,547,203,0,64,16,20,0,0
40,covariance_shift,0.4,552.054931640625,404.6141052246094,70,200,4887,580,200,0,16,45,9,0,0
41,covariance_shift,0.6,519.6887817382812,422.538818359375,70,203,4822,573,203,0,32,22,16,0,0
42,covariance_shift,0.7,387.4292297363281,260.3603515625,58,204,4904,629,204,0,32,15,11,0,0
43,covariance_shift,0.5,423.8002014160156,344.8951416015625,68,201,4591,544,201,0,48,15,5,0,0
44,covariance_shift,0.5,397.028564453125,278.1343994140625,114,201,4636,574,201,0,32,46,36,0,0
45,covariance_shift,0.5,444.5741882324219,336.5643310546875,90,202,4766,588,202,0,62,13,15,0,0
46,covariance_shift,0.3,528.1763305664062,418.25921630859375,56,203,4663,585,203,0,31,16,9,0,0
47,covariance_shift,0.6,521.6087036132812,390.6750183105469,70,201,4830,561,201,0,16,44,10,0,0
48,covariance_shift,0.4,441.58453369140625,441.58453369140625,26,201,4832,569,201,0,13,8,5,0,0
49,covariance_shift,0.6,482.7528076171875,351.3502502441406,65,202,4880,598,202,0,18,17,30,0,0
50,covariance_shift,0.2,520.0916137695312,382.4317932128906,71,200,4674,554,200,0,16,44,11,0,0
51,covariance_shift,0.4,557.8012084960938,390.8142395019531,52,203,4679,603,203,0,16,16,20,0,0
52,covariance_shift,0.4,439.2878112792969,309.9631652832031,90,203,4768,588,203,0,16,63,11,0,0
53,covariance_shift,0.5,486.92083740234375,343.5008850097656,85,200,4678,571,200,0,48,16,21,0,0
54,covariance_shift,0.6,433.0438537597656,260.3941345214844,114,201,4740,539,201,0,63,22,29,0,0
55,covariance_shift,0.4,600.0648803710938,450.600830078125,71,202,4618,525,202,0,32,26,13,0,0
56,covariance_shift,0.4,495.404052734375,339.0047607421875,60,200,4682,519,200,0,16,23,21,0,0
57,covariance_shift,0.6,601.1090087890625,419.28094482421875,99,204,4754,623,204,0,32,56,11,0,0
58,covariance_shift,0.6,429.6694030761719,292.201416015625,71,203,4846,567,203,0,21,39,11,0,0
59,covariance_shift,0.4,534.2227783203125,407.3482971191406,77,203,4812,584,203,0,48,12,17,0,0
60,covariance_shift,0.6,450.7975769042969,328.288818359375,90,207,4910,540,207,0,16,63,11,0,0
61,covariance_shift,0.9,374.07037353515625,248.35816955566406,57,201,4705,558,201,0,16,15,26,0,0
