query_id,shift,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps,candidates_remaining,trace_length,layer_0_visits,layer_1_visits,layer_2_visits,layer_3_visits,layer_4_visits,layer_5_visits
165,0.0,0.5,265.734375,189.87966918945312,68,201,4865,547,201,0,32,16,20,0,0
166,0.0,0.7,221.1075897216797,175.2539520263672,92,201,4877,548,201,0,48,42,2,0,0
167,0.0,1.0,263.69549560546875,172.22079467773438,114,203,4971,499,203,0,64,16,34,0,0
168,0.0,0.5,262.76007080078125,185.2989501953125,76,200,4863,557,200,0,48,26,2,0,0
169,0.0,0.7,228.98507690429688,195.40892028808594,60,201,4793,565,201,0,16,42,2,0,0
170,0.0,1.0,249.7189178466797,167.4240264892578,74,201,4767,518,201,0,16,46,12,0,0
171,0.0,0.8,281.38165283203125,198.4588623046875,74,204,4925,587,204,0,16,31,27,0,0
172,0.0,0.7,271.2535400390625,180.9230499267578,70,202,4877,590,202,0,32,26,12,0,0
173,0.0,1.0,304.1095886230469,212.40150451660156,81,201,4796,572,201,0,32,31,18,0,0
174,0.0,0.9,267.35638427734375,202.4588623046875,53,203,4852,535,203,0,15,11,27,0,0
175,0.0,0.7,275.3876037597656,190.9984588623047,75,206,5029,590,206,0,32,31,12,0,0
176,0.0,0.5,287.341796875,191.78009033203125,75,201,4763,551,201,0,15,46,14,0,0
177,0.0,0.7,345.77154541015625,215.5867156982422,65,200,4809,543,200,0,16,25,24,0,0
178,0.0,0.8,234.5552215576172,189.99493408203125,56,201,4913,543,201,0,16,38,2,0,0
179,0.0,0.8,232.30535888671875,153.2913818359375,108,200,4720,550,200,0,48,45,15,0,0
180,0.0,0.6,269.1069641113281,180.46148681640625,87,200,4684,550,200,0,16,43,28,0,0
181,0.0,0.8,274.6925964355469,173.03262329101562,124,205,5028,541,205,0,48,61,15,0,0
182,0.0,0.8,236.75865173339844,186.1243133544922,71,202,4991,581,202,0,16,31,24,0,0
183,0.0,0.9,208.30084228515625,133.1120147705078,59,200,4899,553,200,0,32,15,12,0,0
184,0.0,0.7,239.33819580078125,194.071044921875,65,201,4924,542,201,0,16,32,17,0,0
185,0.0,0.7,259.85577392578125,204.55014038085938,83,201,4827,545,201,0,16,44,23,0,0
186,0.0,0.6,282.9827575683594,223.2506103515625,73,203,4856,567,203,0,46,15,12,0,0
187,0.0,0.7,266.7421875,177.3787841796875,88,201,4807,504,201,0,48,16,24,0,0
188,0.0,0.7,226.96665954589844,180.21826171875,43,203,4972,498,203,0,16,11,16,0,0
189,0.0,0.8,240.1663055419922,166.33297729492188,121,200,4789,517,200,0,32,77,12,0,0
190,0.0,0.8,249.92074584960938,180.61402893066406,124,201,4778,528,201,0,64,32,28,0,0
191,0.0,0.6,246.76458740234375,192.28594970703125,91,201,4871,563,201,0,16,58,17,0,0
192,0.0,0.8,327.1329650878906,197.76702880859375,72,201,4705,565,201,0,16,28,28,0,0
193,0.0,0.5,249.39712524414062,189.19859313964844,89,202,4885,554,202,0,32,43,14,0,0
194,0.0,0.8,249.50186157226562,160.0151824951172,93,203,4988,558,203,0,48,28,17,0,0
