query_id,distribution,recall,entry_point_distance,base_layer_entry_distance,upper_layer_dist_comps,base_layer_visited,base_layer_dist_comps
46,out_of_distribution,1.0,819.1626586914062,720.7963256835938,42,50,768
47,out_of_distribution,0.9,852.6611328125,751.3265380859375,42,50,789
48,out_of_distribution,0.8,859.5037841796875,768.0394897460938,42,51,784
49,out_of_distribution,1.0,841.1282958984375,742.7700805664062,42,50,776
50,out_of_distribution,0.9,904.935791015625,824.4940185546875,42,52,741
51,out_of_distribution,0.9,707.4951171875,619.6236572265625,42,50,767
52,out_of_distribution,0.8,740.3800659179688,684.6515502929688,42,51,793
53,out_of_distribution,1.0,825.7398681640625,723.1107788085938,42,50,800
54,out_of_distribution,0.8,780.5528564453125,669.6444091796875,42,50,769
55,out_of_distribution,1.0,832.682861328125,750.3972778320312,42,50,786
56,out_of_distribution,0.8,851.2971801757812,730.8960571289062,42,51,793
57,out_of_distribution,1.0,782.7633056640625,700.7669677734375,42,51,764
58,out_of_distribution,1.0,774.664306640625,675.299072265625,42,50,749
59,out_of_distribution,0.9,829.6439208984375,722.43408203125,42,52,785
60,out_of_distribution,0.9,760.1781005859375,677.6272583007812,42,52,813
61,out_of_distribution,0.9,823.417724609375,748.11767578125,42,52,822
62,out_of_distribution,0.7,827.3692016601562,730.6748657226562,42,50,783
63,out_of_distribution,0.9,841.2178955078125,762.4772338867188,42,52,823
64,out_of_distribution,1.0,818.7127075195312,734.9762573242188,42,52,780
65,out_of_distribution,0.9,851.4691772460938,751.6519775390625,42,50,763
66,out_of_distribution,0.9,792.163330078125,694.7354125976562,42,52,797
67,out_of_distribution,0.9,797.1756591796875,658.4129638671875,42,51,786
68,out_of_distribution,0.7,803.8441162109375,698.6866455078125,42,50,768
69,out_of_distribution,0.9,839.6719970703125,752.7139892578125,42,50,746
70,out_of_distribution,1.0,808.4863891601562,708.9148559570312,42,50,754
71,out_of_distribution,0.9,879.4339599609375,794.6295776367188,42,50,779
72,out_of_distribution,1.0,864.6636352539062,753.0067749023438,42,51,804
73,out_of_distribution,0.8,724.310791015625,645.1974487304688,42,50,734
74,out_of_distribution,1.0,844.78515625,775.123291015625,42,52,747
75,out_of_distribution,1.0,881.7381591796875,787.6368408203125,42,52,778
76,out_of_distribution,1.0,960.2167358398438,839.5760498046875,42,50,756
77,out_of_distribution,1.0,702.322509765625,638.6361694335938,42,53,791
78,out_of_distribution,1.0,881.6568603515625,800.5099487304688,42,51,790
79,out_of_distribution,0.9,908.9805297851562,834.91845703125,34,53,816
80,out_of_distribution,1.0,892.1432495117188,797.6677856445312,52,50,733
81,out_of_distribution,0.8,816.000732421875,708.080078125,42,50,728
82,out_of_distribution,0.8,794.616455078125,721.1675415039062,42,54,832
83,out_of_distribution,0.9,810.9525146484375,728.0805053710938,42,53,768
84,out_of_distribution,1.0,837.677978515625,735.9381103515625,42,50,774
85,out_of_distribution,0.9,805.2665405273438,718.4029541015625,42,51,796
86,out_of_distribution,0.9,713.6373291015625,633.7117309570312,59,51,771
87,out_of_distribution,0.8,773.87548828125,660.514892578125,42,50,772
88,out_of_distribution,0.8,829.2731323242188,745.46337890625,42,51,800
89,out_of_distribution,1.0,827.131103515625,730.1603393554688,42,50,755
90,out_of_distribution,0.8,777.5228271484375,698.3157348632812,42,52,807
91,out_of_distribution,1.0,813.7095947265625,699.9574584960938,42,51,792
92,out_of_distribution,0.9,754.8095092773438,657.163330078125,42,51,782
93,out_of_distribution,1.0,657.7100830078125,578.482666015625,42,53,824
94,out_of_distribution,0.8,865.1580200195312,767.098388671875,42,51,786
95,out_of_distribution,0.8,746.6363525390625,680.685302734375,42,50,777
96,out_of_distribution,1.0,826.2158203125,727.84814453125,42,51,798
97,out_of_distribution,1.0,814.4307250976562,734.1172485351562,42,50,746
98,out_of_distribution,0.9,872.01904296875,776.6116943359375,42,56,830
99,out_of_distribution,0.8,814.7691040039062,719.5928344726562,42,51,783
100,out_of_distribution,0.8,885.47607421875,794.6836547851562,42,53,843
101,out_of_distribution,1.0,880.2109985351562,759.7913208007812,42,51,751
102,out_of_distribution,0.9,858.1270141601562,766.1123657226562,42,51,762
103,out_of_distribution,0.9,871.991943359375,799.1823120117188,42,51,809
104,out_of_distribution,0.8,842.2998046875,724.83935546875,42,50,720
105,out_of_distribution,1.0,745.523193359375,660.2166137695312,42,52,788
106,out_of_distribution,0.9,828.740966796875,729.3363647460938,42,50,768
107,out_of_distribution,1.0,771.77880859375,694.2431640625,42,50,784
108,out_of_distribution,0.9,892.7726440429688,804.5313720703125,42,50,779
109,out_of_distribution,1.0,886.4940185546875,794.3125610351562,42,50,764
110,out_of_distribution,0.8,822.5545654296875,730.5973510742188,42,50,756
111,out_of_distribution,0.8,806.5947875976562,756.04736328125,42,52,794
112,out_of_distribution,1.0,811.47216796875,742.5701293945312,42,51,782
113,out_of_distribution,0.8,781.2406616210938,739.5567626953125,33,52,827
114,out_of_distribution,0.9,733.0114135742188,620.5125732421875,42,50,728
115,out_of_distribution,0.8,863.0552978515625,803.5621337890625,33,53,849
116,out_of_distribution,0.9,733.2340087890625,667.0350952148438,42,52,826
117,out_of_distribution,0.9,760.0975952148438,666.5020141601562,42,51,798
118,out_of_distribution,0.9,873.9999389648438,798.673828125,42,50,776
119,out_of_distribution,1.0,832.7059936523438,758.7599487304688,42,55,847
120,out_of_distribution,1.0,748.463623046875,667.2054443359375,42,55,846
121,out_of_distribution,1.0,819.196533203125,700.66357421875,42,51,761
122,out_of_distribution,1.0,727.7327880859375,653.6844482421875,42,50,783
123,out_of_distribution,0.9,785.6383056640625,682.3958129882812,42,50,757
124,out_of_distribution,1.0,846.4635620117188,744.5816040039062,42,50,760
125,out_of_distribution,0.7,826.7918090820312,749.2401123046875,42,51,792
126,out_of_distribution,0.9,828.8544311523438,765.3483276367188,33,52,797
127,out_of_distribution,0.9,724.147216796875,625.15283203125,42,51,785
128,out_of_distribution,0.9,926.6845092773438,810.3970947265625,42,50,767
129,out_of_distribution,0.9,730.6773071289062,647.0654296875,42,53,852
130,out_of_distribution,1.0,829.714111328125,742.2933349609375,42,52,810
131,out_of_distribution,1.0,819.97607421875,723.2874145507812,42,50,789
132,out_of_distribution,0.8,823.0487060546875,731.0606079101562,42,50,803
133,out_of_distribution,0.8,789.2498168945312,727.3683471679688,42,54,847
134,out_of_distribution,0.9,828.92724609375,711.0197143554688,42,50,789
135,out_of_distribution,0.9,807.282958984375,723.5537109375,42,51,797
136,out_of_distribution,0.9,906.2681884765625,804.3511352539062,42,52,786
137,out_of_distribution,1.0,842.6109008789062,759.3361206054688,42,51,791
138,out_of_distribution,1.0,833.4522094726562,738.2838745117188,42,51,758
139,out_of_distribution,1.0,834.1724243164062,735.2113037109375,42,51,770
140,out_of_distribution,1.0,834.9555053710938,747.415771484375,42,50,786
141,out_of_distribution,1.0,817.3561401367188,739.7142944335938,42,51,778
142,out_of_distribution,1.0,848.0379638671875,738.3531494140625,42,50,756
143,out_of_distribution,1.0,821.8313598632812,698.7353515625,42,51,740
144,out_of_distribution,1.0,827.3533325195312,718.3600463867188,42,50,758
145,out_of_distribution,1.0,842.6087646484375,724.2525024414062,42,52,813
146,out_of_distribution,0.8,855.0914916992188,745.598388671875,42,51,801
147,out_of_distribution,0.8,855.8109130859375,764.9222412109375,42,53,846
148,out_of_distribution,1.0,815.7943725585938,726.92431640625,42,51,793
149,out_of_distribution,0.8,808.3556518554688,743.791015625,42,53,792
150,out_of_distribution,1.0,856.7366333007812,767.2577514648438,42,50,765
151,out_of_distribution,0.8,827.6883544921875,755.37841796875,42,52,805
152,out_of_distribution,0.9,699.443359375,699.443359375,19,55,892
153,out_of_distribution,0.7,776.7095336914062,678.1498413085938,42,53,810
154,out_of_distribution,1.0,870.3773803710938,754.8955688476562,42,50,777
155,out_of_distribution,0.9,848.2507934570312,752.1280517578125,42,50,756
156,out_of_distribution,0.9,908.908447265625,807.1343383789062,42,50,756
157,out_of_distribution,1.0,879.516845703125,790.185546875,42,52,792
158,out_of_distribution,0.9,728.1976318359375,602.8215942382812,42,50,749
159,out_of_distribution,0.9,756.2803344726562,653.8033447265625,42,50,767
160,out_of_distribution,0.9,771.1383056640625,713.455810546875,33,51,803
