strategy,ef_search,phase_idx,hardness_bin,is_plateau,hardness_bin_lo,hardness_bin_hi,mean_recall,mean_ep_distance,mean_bl_entry_distance,mean_ul_dist_comps,mean_layer1_visits,mean_base_visited,mean_base_dist_comps,mean_candidates_remaining,n_queries,mean_t_query_ms,mean_t_global_knn_ms,mean_t_orig_knn_ms,mean_t_pool_scan_ms,mean_t_pool_knn_ms,mean_t_adapt_ms
no_adaptation,200,8,7,False,0.3,0.4,0.9702,270868.701,98359.1443,128.1687,30.453,203.2303,4199.2107,500.083,3000,0.539,0.539,,0.0,0.0,0.0
no_adaptation,200,9,8,False,0.4,0.6,0.9605,268633.0483,97601.2147,128.43,31.0617,202.864,4200.185,492.4727,3000,0.5382,0.5382,,0.0,0.0,0.0
no_adaptation,200,10,9,False,0.6,1.0,0.9578,270095.6523,85340.5097,134.5967,34.8297,201.1973,4026.977,432.2537,3000,0.5147,0.5147,,0.0,0.0,0.0
no_adaptation,200,11,9,True,0.6,1.0,0.9576,269524.1102,84841.8536,134.6786,35.1806,201.203,4019.2912,431.9842,5000,0.51,0.51,,0.0,0.0,0.0
no_adaptation,500,0,1,False,0.0,0.0,1.0,261631.275,43496.247,142.7857,38.746,500.1477,5921.8113,524.963,3000,0.9242,0.9242,,0.0,0.0,0.0
no_adaptation,500,1,2,False,0.0,0.1,0.9999,271577.098,76025.2483,133.8393,33.7983,500.7443,7699.7417,691.969,3000,1.0833,1.0833,,0.0,0.0,0.0
no_adaptation,500,2,3,False,0.1,0.1,0.9999,264705.0513,57630.8203,140.8327,37.828,500.2287,7016.1343,630.1533,3000,1.0216,1.0216,,0.0,0.0,0.0
no_adaptation,500,3,3,True,0.1,0.1,0.9998,265700.7986,57807.757,140.7046,37.9378,500.2318,7006.368,628.3948,5000,1.0348,1.0348,,0.0,0.0,0.0
no_adaptation,500,4,4,False,0.1,0.2,0.9992,273500.853,88840.3753,130.7263,31.8463,501.2113,8671.1847,820.6597,3000,1.184,1.184,,0.0,0.0,0.0
no_adaptation,500,5,5,False,0.2,0.3,0.9995,271723.1733,74992.7797,136.5667,35.4187,500.458,8085.2513,743.6,3000,1.1305,1.1305,,0.0,0.0,0.0
