schedule,condition,epoch,ef,recall,edge_count
sudden,static,21,32,0.514,0
sudden,static,21,64,0.6476000000000001,0
sudden,static,21,128,0.7547999999999999,0
sudden,static,22,32,0.5078,0
sudden,static,22,64,0.6397999999999999,0
sudden,static,22,128,0.7596,0
sudden,static,23,32,0.48579999999999995,0
sudden,static,23,64,0.614,0
sudden,static,23,128,0.7422000000000001,0
sudden,static,24,32,0.5085999999999999,0
sudden,static,24,64,0.639,0
sudden,static,24,128,0.7546,0
sudden,adaptive_eh,0,32,0.9822000000000001,0
sudden,adaptive_eh,0,64,0.9944,0
sudden,adaptive_eh,0,128,0.9992000000000001,0
sudden,adaptive_eh,1,32,0.984,0
sudden,adaptive_eh,1,64,0.9972000000000001,0
sudden,adaptive_eh,1,128,0.999,0
sudden,adaptive_eh,2,32,0.983,0
sudden,adaptive_eh,2,64,0.9967999999999999,0
sudden,adaptive_eh,2,128,0.9994,0
sudden,adaptive_eh,3,32,0.9832000000000001,0
sudden,adaptive_eh,3,64,0.9946,0
sudden,adaptive_eh,3,128,0.9985999999999999,0
sudden,adaptive_eh,4,32,0.988,0
sudden,adaptive_eh,4,64,0.9966000000000002,0
sudden,adaptive_eh,4,128,0.9992000000000001,0
sudden,adaptive_eh,5,32,0.9866000000000001,0
sudden,adaptive_eh,5,64,0.9962000000000001,0
sudden,adaptive_eh,5,128,0.999,0
sudden,adaptive_eh,6,32,0.9874,0
sudden,adaptive_eh,6,64,0.9966,0
sudden,adaptive_eh,6,128,0.9992000000000001,0
sudden,adaptive_eh,7,32,0.9838000000000001,0
sudden,adaptive_eh,7,64,0.9964000000000001,0
sudden,adaptive_eh,7,128,0.9987999999999999,0
sudden,adaptive_eh,8,32,0.9858000000000001,0
sudden,adaptive_eh,8,64,0.9952000000000001,0
sudden,adaptive_eh,8,128,0.999,0
sudden,adaptive_eh,9,32,0.9826000000000001,0
sudden,adaptive_eh,9,64,0.9952000000000001,0
sudden,adaptive_eh,9,128,0.9986,0
sudden,adaptive_eh,10,32,0.9845999999999999,19244
sudden,adaptive_eh,10,64,0.9958,19244
sudden,adaptive_eh,10,128,0.9984,19244
sudden,adaptive_eh,11,32,0.9834,19244
sudden,adaptive_eh,11,64,0.9952000000000001,19244
sudden,adaptive_eh,11,128,0.9994000000000001,19244
sudden,adaptive_eh,12,32,0.9852000000000001,19244
sudden,adaptive_eh,12,64,0.9966,19244
sudden,adaptive_eh,12,128,0.9994,19244
sudden,adaptive_eh,13,32,0.5046,42789
sudden,adaptive_eh,13,64,0.6407999999999999,42789
sudden,adaptive_eh,13,128,0.762,42789
sudden,adaptive_eh,14,32,0.699,56453
sudden,adaptive_eh,14,64,0.764,56453
sudden,adaptive_eh,14,128,0.8226,56453
sudden,adaptive_eh,15,32,0.7504,61812
sudden,adaptive_eh,15,64,0.8052,61812
sudden,adaptive_eh,15,128,0.8624,61812
sudden,adaptive_eh,16,32,0.7572000000000001,65635
sudden,adaptive_eh,16,64,0.8026,65635
sudden,adaptive_eh,16,128,0.8473999999999999,65635
sudden,adaptive_eh,17,32,0.7878000000000001,67979
sudden,adaptive_eh,17,64,0.8306,67979
sudden,adaptive_eh,17,128,0.8700000000000001,67979
sudden,adaptive_eh,18,32,0.782,69712
sudden,adaptive_eh,18,64,0.8274,69712
sudden,adaptive_eh,18,128,0.8796,69712
sudden,adaptive_eh,19,32,0.7712,70953
sudden,adaptive_eh,19,64,0.8238,70953
sudden,adaptive_eh,19,128,0.8682000000000001,70953
sudden,adaptive_eh,20,32,0.7537999999999999,72017
sudden,adaptive_eh,20,64,0.8066,72017
sudden,adaptive_eh,20,128,0.855,72017
sudden,adaptive_eh,21,32,0.7716000000000001,73179
sudden,adaptive_eh,21,64,0.8222,73179
sudden,adaptive_eh,21,128,0.8657999999999999,73179
sudden,adaptive_eh,22,32,0.7956,73969
sudden,adaptive_eh,22,64,0.8446000000000001,73969
sudden,adaptive_eh,22,128,0.8864000000000001,73969
sudden,adaptive_eh,23,32,0.775,74798
sudden,adaptive_eh,23,64,0.8154000000000001,74798
sudden,adaptive_eh,23,128,0.8598,74798
sudden,adaptive_eh,24,32,0.7802,75426
sudden,adaptive_eh,24,64,0.8276000000000001,75426
sudden,adaptive_eh,24,128,0.8632000000000001,75426
sudden,adaptive_layer0,0,32,0.9822000000000001,800
sudden,adaptive_layer0,0,64,0.9946,800
sudden,adaptive_layer0,0,128,0.9992000000000001,800
sudden,adaptive_layer0,1,32,0.984,1600
sudden,adaptive_layer0,1,64,0.9972000000000001,1600
sudden,adaptive_layer0,1,128,0.9992000000000001,1600
sudden,adaptive_layer0,2,32,0.983,2400
sudden,adaptive_layer0,2,64,0.9967999999999999,2400
sudden,adaptive_layer0,2,128,0.9994,2400
sudden,adaptive_layer0,3,32,0.9834,3200
sudden,adaptive_layer0,3,64,0.9947999999999999,3200
sudden,adaptive_layer0,3,128,0.9985999999999999,3200
sudden,adaptive_layer0,4,32,0.988,4000
sudden,adaptive_layer0,4,64,0.9966000000000002,4000
sudden,adaptive_layer0,4,128,0.9992000000000001,4000
sudden,adaptive_layer0,5,32,0.9866000000000001,4800
sudden,adaptive_layer0,5,64,0.9962000000000001,4800
sudden,adaptive_layer0,5,128,0.999,4800
sudden,adaptive_layer0,6,32,0.9874,5600
sudden,adaptive_layer0,6,64,0.997,5600
sudden,adaptive_layer0,6,128,0.9996,5600
sudden,adaptive_layer0,7,32,0.9838000000000001,6400
sudden,adaptive_layer0,7,64,0.9964000000000001,6400
sudden,adaptive_layer0,7,128,0.9987999999999999,6400
sudden,adaptive_layer0,8,32,0.9858000000000001,7200
sudden,adaptive_layer0,8,64,0.9954,7200
sudden,adaptive_layer0,8,128,0.999,7200
sudden,adaptive_layer0,9,32,0.9826000000000001,8000
sudden,adaptive_layer0,9,64,0.9954000000000001,8000
sudden,adaptive_layer0,9,128,0.999,8000
sudden,adaptive_layer0,10,32,0.9845999999999999,8800
sudden,adaptive_layer0,10,64,0.996,8800
sudden,adaptive_layer0,10,128,0.9986,8800
sudden,adaptive_layer0,11,32,0.9836,9600
sudden,adaptive_layer0,11,64,0.9954,9600
sudden,adaptive_layer0,11,128,0.9994000000000001,9600
sudden,adaptive_layer0,12,32,0.9852000000000001,10400
sudden,adaptive_layer0,12,64,0.9967999999999999,10400
sudden,adaptive_layer0,12,128,0.9994,10400
sudden,adaptive_layer0,13,32,0.5046,11200
sudden,adaptive_layer0,13,64,0.6407999999999999,11200
sudden,adaptive_layer0,13,128,0.762,11200
sudden,adaptive_layer0,14,32,0.5108,12000
sudden,adaptive_layer0,14,64,0.6496,12000
sudden,adaptive_layer0,14,128,0.7726000000000002,12000
sudden,adaptive_layer0,15,32,0.5192,12800
sudden,adaptive_layer0,15,64,0.647,12800
sudden,adaptive_layer0,15,128,0.7646000000000002,12800
sudden,adaptive_layer0,16,32,0.5146,13600
sudden,adaptive_layer0,16,64,0.6444,13600
sudden,adaptive_layer0,16,128,0.7637999999999999,13600
sudden,adaptive_layer0,17,32,0.5167999999999999,14400
sudden,adaptive_layer0,17,64,0.639,14400
sudden,adaptive_layer0,17,128,0.7566,14400
sudden,adaptive_layer0,18,32,0.5,15200
sudden,adaptive_layer0,18,64,0.6285999999999999,15200
sudden,adaptive_layer0,18,128,0.766,15200
sudden,adaptive_layer0,19,32,0.5052000000000001,16000
sudden,adaptive_layer0,19,64,0.6434000000000001,16000
sudden,adaptive_layer0,19,128,0.762,16000
sudden,adaptive_layer0,20,32,0.4794,16800
sudden,adaptive_layer0,20,64,0.6178,16800
sudden,adaptive_layer0,20,128,0.74,16800
sudden,adaptive_layer0,21,32,0.518,17600
sudden,adaptive_layer0,21,64,0.6524,17600
sudden,adaptive_layer0,21,128,0.7684,17600
sudden,adaptive_layer0,22,32,0.5105999999999999,18400
sudden,adaptive_layer0,22,64,0.6436000000000001,18400
sudden,adaptive_layer0,22,128,0.7662,18400
sudden,adaptive_layer0,23,32,0.487,19200
sudden,adaptive_layer0,23,64,0.6154,19200
sudden,adaptive_layer0,23,128,0.7454000000000001,19200
sudden,adaptive_layer0,24,32,0.5068,20000
sudden,adaptive_layer0,24,64,0.6432,20000
sudden,adaptive_layer0,24,128,0.763,20000
